phrasal_verb,russian_translate,using,sentence
"step in","вмешаться","помочь/взять контроль","She stepped in to help.<br>Она вмешалась, чтобы помочь."
"step up","усилить усилия","ответственность/темп","We need to step up.<br>Нам нужно активизироваться."
"stick around","оставаться поблизости","не уходить сразу","Stick around after the talk.<br>Останься после лекции."
"stick to","придерживаться","план/правила","Stick to the plan.<br>Придерживайся плана."
"sum up","подытожить","краткий вывод","To sum up, we agree.<br>Подытоживая, мы согласны."
"switch on","включить","устройство","Switch on the lights.<br>Включи свет."
"switch off","выключить","устройство","Switch off your phone.<br>Выключи телефон."
"take after","быть похожим","семейные черты","She takes after her мама.<br>Она похожа на маму."
"take away","забрать; вынести вывод","удалить/итог","Take away this message.<br>Запомни эту мысль."
"take back","взять обратно; забрать слова","извинение/возврат","I take back what I said.<br>Я беру свои слова обратно."
"take care of","позаботиться","ответственность","I’ll take care of it.<br>Я этим займусь."
"take down","снять; записать","плакаты/заметки","Take down the notes.<br>Запиши заметки."
"take in","понять; приютить","информация/люди","I couldn’t take in the news.<br>Я не мог осознать новости."
"take off","снять; взлететь; резко стать популярным","одежда/самолёт/успех","The plane took off on time.<br>Самолёт взлетел вовремя."
"take on","взять на себя; нанять","работа/ответственность","She took on a new role.<br>Она взяла на себя новую роль."
"take out","вынести; взять навынос; пригласить","еда/досуг","We took out pizza.<br>Мы взяли пиццу навынос."
"take over","перенять контроль","роль/бизнес","He took over the team.<br>Он возглавил команду."
"take up","начать заниматься; занять место","хобби/пространство","I took up yoga.<br>Я начал заниматься йогой."
"talk over","обсудить","вместе решить","Let’s talk it over.<br>Давай это обсудим."
"tear up","разорвать","бумага","He tore up the письмо.<br>Он разорвал письмо."
"tell off","отчитать","строгий выговор","She told him off.<br>Она его отчитала."
"think over","обдумать","решение","I’ll think it over.<br>Я подумаю."
"think up","придумать","идея","He thought up a name.<br>Он придумал название."
"throw away","выбросить","мусор/ненужное","Don’t throw it away.<br>Не выбрасывай это."
"throw out","выкинуть; предложить идею","физически/в разговоре","He threw out an idea.<br>Он предложил идею."
"throw up","рвать","болезнь","She threw up once.<br>Её вырвало один раз."
"tidy up","прибраться","навести порядок","Let’s tidy up the room.<br>Давай приберёмся в комнате."
"top up","пополнить","баланс/уровень","I topped up my card.<br>Я пополнил карту."
"track down","разыскать","настойчивый поиск","We tracked down the owner.<br>Мы разыскали владельца."
"try on","примерить","одежда","Try on this jacket.<br>Примерь эту куртку."
"try out","опробовать","тестирование","I tried out the new app.<br>Я опробовал новое приложение."
"turn down","отказать; уменьшить громкость","предложение/звук","She turned down the offer.<br>Она отказалась от предложения."
"turn in","сдать; лечь спать","работа/сон","I turned in the report.<br>Я сдал отчёт."
"turn into","превратиться","изменение состояния","The rain turned into snow.<br>Дождь превратился в снег."
"turn on","включить; заинтересовать","устройство/впечатление","Turn on the TV.<br>Включи телевизор."
"turn out","оказаться; прийти","результат/посещение","It turned out great.<br>Это оказалось отличным."
"turn over","перевернуть; передать","страница/контроль","Turn over the page.<br>Переверни страницу."
"turn up","прибавить громкость; появиться","звук/приход","He turned up late.<br>Он появился поздно."
"use up","израсходовать","полностью потратить","We used up all the paper.<br>Мы израсходовали всю бумагу."
"wake up","проснуться; разбудить","сон","I woke up early.<br>Я проснулся рано."
"walk out","уйти демонстративно","протест","He walked out of the meeting.<br>Он демонстративно ушёл со встречи."
"warm up","разогреться; размяться","спорт/подготовка","We warmed up first.<br>Сначала мы размялись."
"wash up","вымыть посуду; умыться","домашние дела","I’ll wash up after dinner.<br>Я помою посуду после ужина."
"watch out","осторожно","предупреждение","Watch out for cars.<br>Осторожно с машинами."
"wear out","износить; утомить","одежда/человек","These shoes are worn out.<br>Эти туфли изношены."
"wind down","расслабиться","переход к отдыху","I need to wind down.<br>Мне нужно расслабиться."
"wipe out","уничтожить; выбить из сил","сильное воздействие","The storm wiped out crops.<br>Шторм уничтожил урожай."
"work out","тренироваться; разобраться; получиться","спорт/решение","Everything worked out.<br>Всё получилось."
"wrap up","закончить; завернуть","финал дела/упаковка","Let’s wrap up the call.<br>Давай завершим звонок."
"write down","записать","фиксировать информацию","Write down the address.<br>Запиши адрес."
"zip up","застегнуть молнию","одежда","Zip up your coat.<br>Застегни пальто."
