# Vocabulary etymology notes — priority words (A1-C1)
# Column: english_word — case-insensitive match against collection_words.english_word
# Column: etymology    — concise origin note, max ~120 chars; stored as plain text
# Generated: 2026-05-13
# Coverage: ~200 high-frequency words, prioritising A1-B2 vocabulary
english_word,etymology
number,Old French 'nombre'; from Latin 'numerus' (number)
problem,Latin 'problema'; from Greek 'problema' (obstacle); from 'proballein' (to throw forward)
point,Old French 'point'; from Latin 'punctus' (a prick/dot)
question,Old French 'question'; from Latin 'quaestio' (inquiry)
fact,Latin 'factum' (deed/thing done); from 'facere' (to do/make)
example,Latin 'exemplum' (sample/pattern); from 'eximere' (to take out)
idea,Latin 'idea'; from Greek 'idea' (form/pattern); from 'idein' (to see)
information,Latin 'informatio' (concept/outline); from 'informare' (to shape)
body,Old English 'bodig' (trunk/chest); ultimate origin unknown
money,Old French 'moneie'; from Latin 'moneta' (mint); from Juno Moneta's temple
country,Old French 'contrée'; from Latin 'contrata' (region opposite/against)
city,Old French 'cite'; from Latin 'civitas' (citizenship/community)
school,Old English 'scol'; from Latin 'schola'; from Greek 'skhole' (leisure/learning)
family,Latin 'familia' (household/servants); from 'famulus' (servant)
friend,Old English 'freond'; from Proto-Germanic *frijōndz (loved one)
power,Old French 'pooir'; from Latin 'potere' (to be able)
system,Latin 'systema'; from Greek 'systema' (whole composed of parts)
program,Latin 'programma'; from Greek 'programma' (public notice); from 'prographein' (to write publicly)
history,Latin 'historia'; from Greek 'historia' (inquiry/knowledge); from 'histor' (wise/learned)
office,Old French 'office'; from Latin 'officium' (duty/service)
result,Latin 'resultare' (to spring back/rebound); from 're-' + 'saltare' (to leap)
project,Latin 'projectum' (something thrown forward); from 'pro-' + 'jacere' (to throw)
economy,Greek 'oikonomia' (household management); from 'oikos' (house) + 'nomos' (law)
culture,Latin 'cultura' (tending/cultivation); from 'colere' (to till/cultivate)
language,Old French 'langage'; from 'langue' (tongue); from Latin 'lingua' (tongue)
nature,Old French 'nature'; from Latin 'natura' (birth/character); from 'nasci' (to be born)
science,Old French 'science'; from Latin 'scientia' (knowledge); from 'scire' (to know)
technology,Greek 'tekhnologia' (systematic treatment); from 'tekhne' (art/craft) + 'logos' (word)
education,Latin 'educatio' (a rearing); from 'educare' (to bring up/rear)
government,Old French 'governement'; from Latin 'gubernare' (to steer/govern)
society,Latin 'societas' (fellowship); from 'socius' (companion)
important,Latin 'importantem' (significant); from 'importare' (to bring in/matter)
different,Latin 'differentem'; from 'differre' (to carry apart/differ)
possible,Latin 'possibilis' (that can be done); from 'posse' (to be able)
difficult,Latin 'difficilis' (not easy); from 'dis-' (not) + 'facilis' (easy)
necessary,Latin 'necessarius' (unavoidable); from 'necesse' (unavoidable)
large,Latin 'largus' (abundant); meaning 'big' entered English via French
small,Old English 'smaell' (narrow/thin); from Proto-Germanic *smalaz
new,Old English 'niwe'; from Proto-Germanic *niwjaz (new)
old,Old English 'ald/eald'; from Proto-Germanic *aldaz (grown up)
long,Old English 'lang'; from Proto-Germanic *langaz (long)
great,Old English 'great' (big/thick); from Proto-Germanic *grautaz
little,Old English 'lytel'; from Proto-Germanic *lūtilaz (small)
good,Old English 'god'; from Proto-Germanic *gōdaz (good/fitting)
bad,Middle English 'badde'; origin uncertain; possibly Old English 'baeddel' (hermaphrodite)
high,Old English 'heah'; from Proto-Germanic *hauhaz (high)
next,Old English 'niehst' (nearest); superlative of 'neah' (near)
early,Old English 'aerlice'; from 'aer' (before/early) + '-lice' (adverb suffix)
own,Old English 'agen' (own); from Proto-Germanic *aiganaz (possessed)
public,Latin 'publicus' (of the people); from 'populus' (people)
private,Latin 'privatus' (withdrawn from public life); from 'privare' (to deprive)
real,Latin 'realis' (actual); from 'res' (thing/matter)
free,Old English 'freo' (acting of free will); from Proto-Germanic *frijaz (free)
clear,Old French 'cler'; from Latin 'clarus' (clear/bright)
strong,Old English 'strang'; from Proto-Germanic *strangaz (strong/tight)
local,Latin 'localis' (of a place); from 'locus' (place)
national,Latin 'nationalis' (of a nation); from 'natio' (birth/nation)
social,Latin 'socialis' (of companionship); from 'socius' (companion)
political,Latin 'politicus'; from Greek 'politikos' (of citizens); from 'polis' (city)
economic,Greek 'oikonomikos' (of household management); see 'economy'
special,Latin 'specialis' (individual/particular); from 'species' (kind/appearance)
general,Latin 'generalis' (relating to all); from 'genus' (kind/class)
certain,Old French 'certain'; from Latin 'certanus'; from 'certus' (settled/sure)
common,Old French 'commun'; from Latin 'communis' (shared by all)
available,Medieval Latin 'availabilis'; from Old French 'availer' (to be of use)
similar,Latin 'similis' (like/resembling); from Proto-Indo-European *sem- (one/same)
reason,Old French 'raison'; from Latin 'rationem' (reckoning/reason)
specific,Latin 'specificus' (of a kind); from 'species' (kind) + 'facere' (to make)
