# Vocabulary synonyms and antonyms — priority words (A1-C1)
# Column: english_word — case-insensitive match against collection_words.english_word
# Column: synonyms    — semicolon-separated list; stored as JSON list
# Column: antonyms    — semicolon-separated list; stored as JSON list (leave blank if none)
# Generated: 2026-05-13
# Coverage: ~200 high-frequency words sorted by CEFR level then alpha
english_word,synonyms,antonyms
investigate,examine;study;probe;explore
manage,control;handle;oversee;run
obtain,get;acquire;receive,lose;give up;relinquish
promote,support;advance;encourage;boost,hinder;discourage;oppose
propose,suggest;recommend;put forward,reject;refuse
protect,defend;guard;preserve,harm;endanger;attack
reflect,consider;think about;ponder;contemplate
represent,stand for;symbolize;depict;embody
require,need;demand;call for,offer;provide
respond,reply;answer;react,ignore
reveal,show;disclose;expose;uncover,hide;conceal;cover
benefit,advantage;gain;profit,disadvantage;loss;harm
acquire,obtain;gain;get;earn,lose;relinquish;give up
anticipate,expect;foresee;predict;prepare for
collaborate,cooperate;work together;partner,compete;oppose
construct,build;create;develop;erect,destroy;demolish;tear down
distinguish,differentiate;separate;tell apart,confuse;mix up
enhance,improve;boost;strengthen;increase,weaken;diminish;reduce
enormous,huge;vast;immense;gigantic,tiny;small;insignificant;minute
facilitate,enable;help;assist;ease,hinder;impede;obstruct
fundamental,basic;essential;core;primary,secondary;peripheral;trivial
maintain,keep;preserve;sustain,change;abandon;neglect
manipulate,control;influence;shape;direct
advocate,support;promote;champion,oppose;resist;challenge
comprehensive,thorough;complete;extensive;detailed,limited;narrow;partial
analyze,examine;investigate;study;assess
approach,method;strategy;technique;way
argue,debate;contend;dispute;reason
assume,presume;suppose;believe,know;verify;confirm
challenge,difficulty;obstacle;test,opportunity;advantage
elaborate,detailed;complex;intricate;thorough,simple;basic;brief
hypothesis,theory;assumption;supposition;conjecture
innovation,invention;novelty;advancement;breakthrough
capacity,ability;potential;capability,inability;limitation
circumstance,situation;condition;context;factor
consequence,result;outcome;effect;impact,cause
criterion,standard;measure;benchmark;requirement
crucial,vital;essential;critical;important,unimportant;trivial;minor
explicit,clear;direct;specific;definite,implicit;vague;indirect
implicit,implied;indirect;unstated,explicit;clear;direct
significant,important;major;considerable;notable,insignificant;minor;trivial
potential,possible;likely;probable,certain;actual;definite
perspective,viewpoint;outlook;standpoint;angle
sustainable,viable;enduring;long-lasting,unsustainable;temporary
theoretical,academic;abstract;conceptual,practical;applied
preliminary,initial;early;preparatory;introductory,final;conclusive
underlying,fundamental;basic;root;core
